dim,points,k,time_ms,status
3,0,40,0.0,empty
3,100000,40,603.9381502196193,ok
3,500000,40,3515.5731355771422,ok
3,1000000,40,13042.85395424813,ok
3,1500000,40,28416.15212056786,ok
3,2000000,40,49786.65236569941,ok
3,2500000,40,76076.91607065499,ok
3,3000000,40,109431.69234134257,ok
3,3500000,40,151758.76192282885,ok
3,4000000,40,197432.78023134917,ok
3,4500000,40,249951.94048900157,ok
3,5000000,40,309156.3580157235,ok
5,0,40,0.0,empty
5,100000,40,400.7324818521738,ok
5,500000,40,3757.9993875697255,ok
5,1000000,40,13498.301554471254,ok
5,1500000,40,29024.653528816998,ok
5,2000000,40,50742.96513386071,ok
5,2500000,40,77168.9157821238,ok
5,3000000,40,110473.18553738296,ok
5,3500000,40,152986.9330842048,ok
5,4000000,40,199244.66456845403,ok
5,4500000,40,251542.00474265963,ok
5,5000000,40,308519.3161191419,ok
3,0,10,0.0,empty
3,100000,10,283.75297132879496,ok
3,500000,10,2344.2643396556377,ok
3,1000000,10,8673.814851790667,ok
3,1500000,10,19266.026496887207,ok
3,2000000,10,34056.74182809889,ok
3,2500000,10,53669.99111417681,ok
3,3000000,10,76206.1881935224,ok
3,3500000,10,103340.40129929781,ok
3,4000000,10,132135.64904779196,ok
3,4500000,10,167086.53627242893,ok
3,5000000,10,206444.44616883993,ok
3,0,100,0.0,empty
3,100000,100,432.3209710419178,ok
3,500000,100,3925.6842378526926,ok
3,1000000,100,13939.577668905258,ok
3,1500000,100,30765.170196071267,ok
3,2000000,100,53683.78325179219,ok
3,2500000,100,82868.76903567463,ok
3,3000000,100,117105.84316402674,ok
3,3500000,100,158922.8224903345,ok
3,4000000,100,206420.36572564393,ok
3,4500000,100,267199.2586730048,ok
3,5000000,100,329248.9874763414,ok
2,5000000,40,306667.56159905344,ok
4,5000000,40,307134.03008133173,ok
6,5000000,40,307912.62991633266,ok
7,5000000,40,307469.25362572074,ok
8,5000000,40,307192.48933903873,ok
9,5000000,40,308728.61309256405,ok
10,5000000,40,307421.4955540374,ok
11,5000000,40,307848.3955943957,ok
12,5000000,40,307543.3321092278,ok
13,5000000,40,307471.93152084947,ok
14,5000000,40,308981.96492437273,ok
15,5000000,40,306986.9023989886,ok
3,0,40,0.0,empty
3,100000,40,371.8737866729498,ok
3,500000,40,3537.433964200318,ok
3,1000000,40,13048.310587182641,ok
3,1500000,40,28414.120143279433,ok
3,2000000,40,49877.12575122714,ok
3,2500000,40,76529.65059224516,ok
3,3000000,40,109265.4452752322,ok
3,3500000,40,153121.36218696833,ok
3,4000000,40,199647.14423008263,ok
3,4500000,40,251851.29955038428,ok
3,5000000,40,307537.9993589595,ok
5,0,40,0.0,empty
5,100000,40,368.51365957409143,ok
5,500000,40,3526.6532823443413,ok
5,1000000,40,13141.34925417602,ok
5,1500000,40,29147.971387021244,ok
5,2000000,40,49871.42285332084,ok
5,2500000,40,76386.07798703015,ok
5,3000000,40,110426.61710549146,ok
5,3500000,40,151658.43552164733,ok
5,4000000,40,197486.76234297454,ok
5,4500000,40,249947.69987091422,ok
5,5000000,40,308007.2585558519,ok
3,0,10,0.0,empty
3,100000,10,297.2533544525504,ok
3,500000,10,2350.084205158055,ok
3,1000000,10,8687.639417126775,ok
3,1500000,10,19220.33201996237,ok
3,2000000,10,33998.558710329235,ok
3,2500000,10,53226.966962218285,ok
3,3000000,10,75966.24014992267,ok
3,3500000,10,103154.67260032892,ok
3,4000000,10,131791.90122522414,ok
3,4500000,10,167087.47954666615,ok
3,5000000,10,205583.91193300486,ok
3,0,100,0.0,empty
3,100000,100,450.6393251940608,ok
3,500000,100,3928.0755408108234,ok
3,1000000,100,13857.004574500024,ok
3,1500000,100,30863.723809830844,ok
3,2000000,100,53702.97911670059,ok
3,2500000,100,82931.86618201435,ok
3,3000000,100,116956.67880866677,ok
3,3500000,100,159744.3121029064,ok
3,4000000,100,205980.34339398146,ok
3,4500000,100,266612.58360836655,ok
3,5000000,100,328615.2457287535,ok
2,5000000,40,307898.48801027983,ok
4,5000000,40,308062.8877962008,ok
6,5000000,40,308946.3258404285,ok
7,5000000,40,310038.95613271743,ok
8,5000000,40,308409.55306589603,ok
9,5000000,40,307654.014675878,ok
10,5000000,40,307479.0131468326,ok
11,5000000,40,307723.2474926859,ok
12,5000000,40,307934.551239945,ok
13,5000000,40,307954.3380420655,ok
14,5000000,40,307987.8703812137,ok
15,5000000,40,308094.79116648436,ok
3,0,40,0.0,empty
3,100000,40,392.41717383265495,ok
3,500000,40,3576.5905724838376,ok
3,1000000,40,13134.12684481591,ok
3,1500000,40,28530.66042996943,ok
3,2000000,40,50108.77342056483,ok
3,2500000,40,76244.74675487727,ok
3,3000000,40,109355.24086281657,ok
3,3500000,40,151941.1335773766,ok
3,4000000,40,197906.9166984409,ok
3,4500000,40,250226.09644010663,ok
3,5000000,40,307860.22103764117,ok
5,0,40,0.0,empty
5,100000,40,381.97486754506826,ok
5,500000,40,3577.12238188833,ok
