dimension,k,hnswlib_time,fgc_time,count,size
2,10,560.4915618896484,319.86427307128906,1,100000.0
2,40,571.6491540273031,221.9087282816569,3,100000.0
2,100,590.3706550598145,56.20551109313965,1,100000.0
2,10,8017.749071121216,361.1164093017578,1,1000000.0
2,40,5572.604835033417,926.5733361244202,4,1000000.0
2,100,5641.414880752564,1571.6123580932615,1,1000000.0
2,10,32388.616800308228,14215.174198150637,1,5000000.0
2,40,29643.58675479889,16046.908617019652,2,5000000.0
2,100,31246.30188941956,19905.691623687744,1,5000000.0
3,10,601.1130809783936,40.0996208190918,1,100000.0
3,40,618.0971463521322,75.68788528442383,3,100000.0
3,100,575.9568214416504,66.41411781311035,1,100000.0
3,10,6227.487802505493,162.8704071044922,1,1000000.0
3,40,6319.125334421794,261.96591059366864,3,1000000.0
3,100,6180.994272232056,538.4740829467773,1,1000000.0
3,10,34351.126194000244,5052.417993545532,1,5000000.0
3,40,33130.555868148804,3699.207663536072,2,5000000.0
3,100,35324.19419288635,5138.530731201172,1,5000000.0
4,10,623.3439445495605,55.25994300842285,1,100000.0
4,40,624.6260007222494,97.55245844523112,3,100000.0
4,100,595.9570407867432,91.0658836364746,1,100000.0
4,10,6699.143171310425,1043.9348220825195,1,1000000.0
4,40,6926.711479822795,1451.9311587015789,3,1000000.0
4,100,6827.147960662842,2528.0981063842773,1,1000000.0
4,40,38192.89040565491,12772.18246459961,1,5000000.0
5,40,651.4064073562622,170.9728240966797,2,100000.0
5,40,7661.513924598694,3095.3822135925293,2,1000000.0
5,40,42105.15904426575,44687.07656860352,1,5000000.0
6,40,643.2754993438721,179.01098728179932,2,100000.0
6,40,8247.53475189209,5921.982049942017,2,1000000.0
6,40,47160.353660583496,84990.71645736694,1,5000000.0
7,40,640.7207250595093,393.548846244812,2,100000.0
7,40,9015.607953071594,9532.833456993105,2,1000000.0
7,40,55655.620098114014,121410.39037704468,1,5000000.0
8,40,683.9830875396729,408.3396196365357,2,100000.0
8,40,9553.611993789673,9563.558578491213,2,1000000.0
8,40,66821.04897499084,140861.73391342163,1,5000000.0
9,40,752.7652978897095,460.1762294769287,2,100000.0
9,40,11224.910616874697,11204.8362493515,2,1000000.0
9,40,77255.27548789978,198625.9069442749,1,5000000.0
10,40,704.1726112365723,493.6398267745972,2,100000.0
10,40,12412.44649887085,14552.13701725006,2,1000000.0
10,40,80085.74676513672,246848.2356071472,1,5000000.0
11,40,696.4913606643677,520.5769538879395,2,100000.0
11,40,12946.576714515686,18589.96844291687,2,1000000.0
12,40,693.3615207672119,831.6953182220459,1,100000.0
12,40,14239.478588104248,24435.409784317017,1,1000000.0
13,40,692.8260326385498,962.305784225464,1,100000.0
13,40,15879.11319732666,29100.300550460815,1,1000000.0
14,40,720.2262878417969,1143.1686878204346,1,100000.0
14,40,15419.602155685425,33460.002183914185,1,1000000.0
15,40,650.4850387573242,1235.9142303466797,1,100000.0
15,40,16292.423248291016,37431.01358413696,1,1000000.0
16,40,661.0794067382812,1972.315788269043,1,100000.0
16,40,17414.93320465088,99912.99176216124,1,1000000.0
17,40,683.8185787200928,1855.6172847747805,1,100000.0
17,40,17864.49360847473,46334.1703414917,1,1000000.0
18,40,685.1279735565186,2037.5587940216064,1,100000.0
18,40,18463.993787765503,51951.972007751465,1,1000000.0
19,40,673.4497547149658,1838.421106338501,1,100000.0
19,40,19231.193780899048,56949.67246055603,1,1000000.0
20,40,700.8171081542969,2082.847595214844,1,100000.0
20,40,24759.20248031616,61346.52996063232,1,1000000.0
21,40,706.7098617553711,2604.2025089263916,1,100000.0
21,40,20122.737884521484,69158.70022773743,1,1000000.0
22,40,673.8555431365967,3364.980936050415,1,100000.0
22,40,19844.08164024353,74894.12927627563,1,1000000.0
23,40,716.2981033325195,3222.546100616455,1,100000.0
23,40,20560.94026565552,78993.14045906067,1,1000000.0
24,40,665.3859615325928,3265.6939029693604,1,100000.0
24,40,32078.826904296875,101281.72063827516,1,1000000.0
25,40,747.3351955413818,3819.714784622192,1,100000.0
25,40,20155.117988586426,92334.1772556305,1,1000000.0
26,40,711.2655639648438,4384.899139404297,1,100000.0
26,40,21440.46711921692,97506.334066391,1,1000000.0
27,40,710.1500034332275,4408.600330352783,1,100000.0
27,40,24469.49315071106,102427.51407623292,1,1000000.0
28,40,691.6351318359375,4396.295547485352,1,100000.0
28,40,30129.439115524292,104834.87057685852,1,1000000.0
29,40,725.5232334136963,4405.666828155518,1,100000.0
29,40,26122.373819351196,115804.82959747314,1,1000000.0
30,40,730.2753925323486,4980.591535568237,1,100000.0
2,10,18047.14245796204,4358.338356018066,5,100000.0
2,40,13303.338834217617,3223.100525992257,7,100000.0
2,100,19181.46157264709,5842.267370223999,5,100000.0
2,10,6745.195508003235,304.4368028640747,2,1000000.0
2,40,5564.810180664063,804.0249347686768,5,1000000.0
2,100,5629.403114318848,1082.1421146392822,2,1000000.0
2,10,32388.616800308228,14215.174198150637,1,5000000.0
2,40,29643.58675479889,16046.908617019652,2,5000000.0
2,100,31246.30188941956,19905.691623687744,1,5000000.0
3,10,20612.19067573548,1350.1182079315186,5,100000.0
3,40,14833.54241507394,1085.7905319758825,7,100000.0
3,100,20341.82381629944,2068.930196762085,5,100000.0
3,10,6193.143010139465,123.85332584381104,2,1000000.0
3,40,6285.90315580368,224.9659299850464,4,1000000.0
3,100,6215.077877044678,377.8002262115479,2,1000000.0
3,10,34351.126194000244,5052.417993545532,1,5000000.0
3,40,33130.555868148804,3699.207663536072,2,5000000.0
3,100,35324.19419288635,5138.530731201172,1,5000000.0
4,10,22722.575855255127,2729.511070251465,5,100000.0
4,40,16022.399459566388,3281.5732955932617,7,100000.0
4,100,22876.38688087464,7329.9468994140625,5,100000.0
4,10,6688.511967658997,721.8906879425049,2,1000000.0
4,40,6841.3267731666565,1258.2222819328308,4,1000000.0
4,100,6874.578714370728,1786.6612672805786,2,1000000.0
4,40,38192.89040565491,12772.18246459961,1,5000000.0
5,40,29655.87525897556,15923.588116963703,9,100000.0
5,40,7615.878025690715,2581.665277481079,3,1000000.0
5,40,42105.15904426575,44687.07656860352,1,5000000.0
6,40,33864.39469125536,31398.025883568655,9,100000.0
6,40,8213.464816411337,4872.4269072214765,3,1000000.0
6,40,47160.353660583496,84990.71645736694,1,5000000.0
7,40,40233.15585984124,53920.1664659712,9,100000.0
7,40,8906.842231750488,7775.783300399781,3,1000000.0
7,40,55655.620098114014,121410.39037704468,1,5000000.0
8,40,49468.22283003065,67186.8773566352,9,100000.0
8,40,9529.060443242392,7991.61728223165,3,1000000.0
8,40,66821.04897499084,140861.73391342163,1,5000000.0
9,40,46286.47337641035,79043.2938848223,7,100000.0
9,40,11224.910616874697,11204.8362493515,2,1000000.0
9,40,77255.27548789978,198625.9069442749,1,5000000.0
10,40,58167.4470504125,113861.65150006612,6,100000.0
10,40,12412.44649887085,14552.13701725006,2,1000000.0
10,40,80085.74676513672,246848.2356071472,1,5000000.0
11,40,696.4913606643677,520.5769538879395,2,100000.0
11,40,12946.576714515686,18589.96844291687,2,1000000.0
12,40,693.3615207672119,831.6953182220459,1,100000.0
12,40,14239.478588104248,24435.409784317017,1,1000000.0
13,40,692.8260326385498,962.305784225464,1,100000.0
13,40,15879.11319732666,29100.30055046081,1,1000000.0
14,40,720.2262878417969,1143.1686878204346,1,100000.0
14,40,15419.602155685425,33460.002183914185,1,1000000.0
15,40,650.4850387573242,1235.9142303466797,1,100000.0
15,40,16292.423248291016,37431.01358413696,1,1000000.0
16,40,661.0794067382812,1972.315788269043,1,100000.0
16,40,17414.93320465088,99912.99176216124,1,1000000.0
17,40,683.8185787200928,1855.6172847747805,1,100000.0
17,40,17864.49360847473,46334.1703414917,1,1000000.0
18,40,685.1279735565186,2037.5587940216064,1,100000.0
18,40,18463.993787765503,51951.972007751465,1,1000000.0
19,40,673.4497547149658,1838.421106338501,1,100000.0
19,40,19231.193780899048,56949.67246055603,1,1000000.0
20,40,700.8171081542969,2082.847595214844,1,100000.0
20,40,24759.20248031616,61346.52996063232,1,1000000.0
21,40,706.7098617553711,2604.202508926392,1,100000.0
21,40,20122.737884521484,69158.70022773743,1,1000000.0
22,40,673.8555431365967,3364.980936050415,1,100000.0
22,40,19844.08164024353,74894.12927627563,1,1000000.0
23,40,716.2981033325195,3222.546100616455,1,100000.0
23,40,20560.94026565552,78993.14045906067,1,1000000.0
24,40,665.3859615325928,3265.6939029693604,1,100000.0
24,40,32078.826904296875,101281.72063827516,1,1000000.0
25,40,747.3351955413818,3819.714784622192,1,100000.0
25,40,20155.117988586426,92334.1772556305,1,1000000.0
26,40,711.2655639648438,4384.899139404297,1,100000.0
26,40,21440.46711921692,97506.334066391,1,1000000.0
27,40,710.1500034332275,4408.600330352783,1,100000.0
27,40,24469.49315071106,102427.51407623292,1,1000000.0
28,40,691.6351318359375,4396.295547485352,1,100000.0
28,40,30129.43911552429,104834.87057685852,1,1000000.0
29,40,725.5232334136963,4405.666828155518,1,100000.0
29,40,26122.3738193512,115804.82959747314,1,1000000.0
30,40,730.2753925323486,4980.591535568237,1,100000.0
5,10,36471.86912809099,12643.119198935372,7,100000.0
