dim,points,k,time_ms,status
3,0,40,0.0,empty
3,100000,40,500.36206282675266,ok
3,500000,40,3020.782937295735,ok
3,1000000,40,6723.452539183199,ok
3,1500000,40,11251.725350506604,ok
3,2000000,40,21131.697826087475,ok
3,2500000,40,26395.26217803359,ok
3,3000000,40,31168.425797484815,ok
3,3500000,40,36712.715703994036,ok
3,4000000,40,42634.126770310104,ok
3,4500000,40,49460.505058057606,ok
3,5000000,40,52319.77501232177,ok
5,0,40,0.0,empty
5,100000,40,474.580024369061,ok
5,500000,40,3020.7729740068316,ok
5,1000000,40,6729.172954335809,ok
5,1500000,40,11327.4847259745,ok
5,2000000,40,21058.421910740435,ok
5,2500000,40,26487.71319910884,ok
5,3000000,40,31161.12554538995,ok
5,3500000,40,36690.42329210788,ok
5,4000000,40,42603.78157440573,ok
5,4500000,40,49312.995633110404,ok
5,5000000,40,52298.376937396824,ok
3,0,10,0.0,empty
3,100000,10,428.699373267591,ok
3,500000,10,2769.2962531000376,ok
3,1000000,10,6183.697228319943,ok
3,1500000,10,10401.805280707777,ok
3,2000000,10,19986.28093395382,ok
3,2500000,10,24899.296713992953,ok
3,3000000,10,29202.472373843193,ok
3,3500000,10,34548.76852966845,ok
3,4000000,10,40230.10597657412,ok
3,4500000,10,46349.70554988831,ok
3,5000000,10,49072.53554742783,ok
3,0,100,0.0,empty
3,100000,100,555.2265979349613,ok
3,500000,100,3515.9012945368886,ok
3,1000000,100,7828.271402046084,ok
3,1500000,100,12979.318735189736,ok
3,2000000,100,23395.62590792775,ok
3,2500000,100,29521.67760115117,ok
3,3000000,100,34867.268153466284,ok
3,3500000,100,41144.6620747447,ok
3,4000000,100,47986.54858674854,ok
3,4500000,100,55529.3347062543,ok
3,5000000,100,58899.40868411213,ok
2,5000000,40,52261.411250568926,ok
4,5000000,40,52304.08846586943,ok
6,5000000,40,52310.23609172553,ok
7,5000000,40,52299.17570576072,ok
8,5000000,40,52285.0621920079,ok
9,5000000,40,52246.84192799032,ok
10,5000000,40,52328.04058864713,ok
3,0,40,0.0,empty
3,100000,40,474.1818020120263,ok
3,500000,40,3023.2421439141035,ok
